FNR;Benennung deutsch;Benennung english;Code;"Sachnummer
SNR";TypID;MY;MBR;FBR;FBM;Model Name;COP Typ-Bezeichnung
3925;Steuergeraet Klimaanlage Hardware;Control module AC-System hardware;;P 000 901 76 06;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
3925;Steuergeraet Klimaanlage Hardware;Control module AC-System hardware;;P 000 901 04 25;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
3926;Steuergeraet Klimaanlage Software;Control module AC-System software;;P 000 902 66 71;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
3926;Steuergeraet Klimaanlage Software;Control module AC-System software;;P 000 902 28 48;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
3926;Steuergeraet Klimaanlage Software;Control module AC-System software;;P 000 902 82 72;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
3926;Steuergeraet Klimaanlage Software;Control module AC-System software;;P 000 902 67 71;208-22;22;100;111;123456;AEG C 43 6Static (convertible);123456 AEG C 43 6Static (convertible) 100 111 MY22
0109;Oel-Einfuellverschluss;Oil filler cap; ;P 000 010 16 85;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0209;Gluehkerze;Glow plug;;P 001 159 66 01;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0215;Positionssensor Kurbelwelle;Crankshaft position sensor; ;P 276 905 15 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0219;Positionssensor Nockenwelle;Camshaft position sensor; ;P 005 153 13 28;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0301;Daempferfilter;Air cleaner;;P 907 528 01 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0302;Ladeluftverteiler;Intake manifold; ;P 642 090 69 37;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0302;Ladeluftverteiler;Intake manifold; ;P 642 090 06 37;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0302;Ladeluftverteiler;Intake manifold; ;P 642 098 00 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0310;Oelabscheider;Oil separator;;P 642 010 03 62;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0352;Stellmotor (EKAS);Intake-port shutoff; ;P 642 150 05 94;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
